S.No,College Code,College Name,Address
1,1011,Anna University Chennai,Sardar Patel Road Guindy Chennai District 600025
2,1012,University College of Engineering Villupuram,Kakuppam Villupuram District 605103
3,1013,University College of Engineering Villupuram,Kakuppam Villupuram District 605103
4,1014,University College of Engineering Tindivanam,Melpakkam Tindivanam Villupuram District 604001
5,1015,University College of Engineering Arni,Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326
6,1026,University College of Engineering Kancheepuram,Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552
7,1101,Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet Avadi - IAF Chennai-600055
8,1102,Bhajarang Engineering College,Ayathur Village Veppampattu (R.S) Thiruvallur dist-602024
9,1106,Jaya Engineering College,Prakash Nagar Thiruninravur Thiruvallur District Chennai-602024
10,1107,Jaya Institute of Technology,Kanchipadi Thiruvallur-Thiruthani NH Road Thiruvallur Taluk & District-631204
11,1110,Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road Aranvoyalkuppam Tiruvallur-602025
12,1112,R.M.D. Engineering College (Autonomous),R.S.M. Nagar Gummidipoondi Taluk Kavaraipettai Thiruvallur-601206
13,1113,R.M.K. Engineering College (Autonomous),R.S.M. Nagar Kavaraipettai Gummidipoondi Taluk Thiruvallur-601206
14,1114,S.A. Engineering College (Autonomous),Poonamallee-Avadi Road Thiruverkadu Post Tiruvallur Chennai-600077
15,1115,SriRam Engineering College,Perumalpattu Veppampattu R.S. Tiruvallur District Chennai-602024
16,1116,Sri Venkateswara College of Engineering and Technology,Thirupachur Thiruvallur Taluk & District-631203
17,1118,Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous),42 Veltech Road Avadi Morai Thiruvallur-600062
18,1120,Velammal Engineering College (Autonomous),Velammal Nagar Ambattur-Redhills Road Surapet Thiruvallur Chennai-600066
19,1121,Sri Venkateswara Institute of Science and Technology,Kolundhalur Thiruvallur Taluk & District-631203
20,1122,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous),No. 60 Veltech Road Avadi Morai Thiruvallur-600062
21,1123,Gojan School of Business and Technology,80-Feet Road Edapalayam Red Hills Thiruvallur Chennai-600052
22,1124,SAMS College of Engineering and Technology,82 Panapakkam Tirupathi Road Uthukottai Taluk Thiruvallur District-601102
23,1126,JNN Institute of Engineering (Autonomous),Ushaa Garden 90 Kannigaipair Village Uthukottai Taluk Thiruvallur-601102
24,1127,St. Peter's College of Engineering and Technology,College Road Avadi Taluk Thiruvallur District Chennai-600054
25,1128,R.M.K. College of Engineering and Technology (Autonomous),R.S.M. Nagar Puduvoyal Gummidipoondi Taluk Thiruvallur District 601206
26,1133,Annai Veilankannis College of Engineering,33 Gandhi Road Nedungundram Chennai-600048
27,1137,Annai Mira College of Engineering and Technology,Arappakkam Village Arcot Road Walaja Taluk Vellore District-632517
28,1140,Jeppiaar Institute of Technology (Autonomous),Jeppiaar Nagar Kunnam Village Sriperumbudur Taluk Kanchipuram-631604
29,1149,St. Joseph's Institute of Technology (Autonomous),Jeppiaar Nagar Old Mamallapuram Road Kanchipuram Chennai-600119
30,1150,Sri Jayaram Institute of Engineering and Technology,51 N Elavur 58 N Natham Village Gumudipoondi Taluk Thiruvallur District-601201
31,1202,DMI College of Engineering (Autonomous),St.Joseph's Town Mevalurkuppam B Village Nazarethpet Post Palanchur Kanchipuram Chennai-600123
32,1207,Kings Engineering College,Irungattukottai Opp. Hyundai Car Company Sriperumbudur Kanchipuram-602117
33,1209,Pallavan College of Engineering,Thimmasamudram Kanchipuram-631502
34,1210,Panimalar Engineering College (Autonomous),Bangalore Trunk Road NazarathPet Varadharajapuram Poonamallee Thiruvallur (DT) Chennai-600123
35,1211,Rajalakshmi Engineering College (Autonomous),Rajalakshmi Nagar Thandalam Kanchipuram Chennai-602105
36,1212,Rajiv Gandhi College of Engineering,Nemili Village Sriperumbudur Kanchipuram-602105
37,1216,Saveetha Engineering College (Autonomous),Saveetha Nagar Thandalam Post Sriperumbudur Taluk Kancheepuram District-602105
38,1217,Sree Sastha Institute of Engineering and Technology,Chennai-Bangalore Highway Chembarambakkam Thiruvallur District Chennai-600123
39,1218,Sri Muthukumaran Institute of Technology,Chikkarayapuram Near Mangadu Kanchipuram Chennai-600069
40,1219,Sri Venkateswara College of Engineering (Autonomous),Post Bag No.3 Pennalur Sriperumbudur Kanchipuram-602105
41,1221,Jaya College of Engineering and Technology,Poonamallee By Pass Road Parivakkam Chennai Thiruvallur-600056
42,1222,P.B. College of Engineering,Chennai-Bangalore High Way Irungkattukottai Sriperumbudur Taluk Kancheepuram District Chennai-602117
43,1225,Loyola Institute of Technology,Palanchur Mevalurkuppam B village Nazarathpet Post Sriperumpudur Taluk Kanchipuram District Chennai-600123
44,1226,P.T.Lee Chengalvaraya Naicker College of Engineering and Technology,Oovery Veliyur Post Kanchipuram District-631502
45,1228,Alpha College of Engineering,No.34 Udayavar Kovil Street Thirumazhisai Chennai-600124
46,1229,Indira Institute of Engineering and Technology,No.1 V.G.R Nagar V.G.R Gardens Pandur Thiruvallur-631203
47,1230,Apollo Engineering College,Mevaloorkuppam Valarpuram Post Sriperumbudur Taluk Kanchipuram District-602105
48,1232,ARM College of Engineering and Technology,Sattamangalam Maraimalainagar Post Chengalpattu Taluk Kanchipuram Dist-603209
49,1233,Adhi College of Engineering and Technology,No. 6 Munu Adhi Nagar Sankarapuram Puliambakkam Post Near Wallajabad Kancheepuram-631605
50,1235,Jei Mathaajee College of Engineering,No.124 Vishakandikuppam Village Siruvakkam Post Kanchipuram-631552
51,1237,Velammal Institute of Technology,Chennai-Kolkatta Highway Pancheeti Village Ponneri Taluk Thiruvallur District-601204
